Полином,Индекс_члена,Член,ΔR²,Важность_%
C_D0_1,3,0.0003242*alpha**2,2.1945353218625114,219.45353218625115
C_D0_1,0,0.000438900000000000,0.03338750178144223,3.338750178144223
C_D0_1,1,3.347e-5*beta**2,0.02294286819193858,2.294286819193858
C_D0_1,2,6.723e-5*alpha,0.006372111287313187,0.6372111287313187
C_D0_1,4,3.758e-19*beta,0.0,0.0
C_D0_1,5,-3.321e-21*alpha*beta,0.0,0.0
C_D_right_1,4,2.64e-5*del_r**2,1.3522044703602374,135.22044703602373
C_D_right_1,5,0.0001054*alpha*del_r,0.311942233077351,31.194223307735104
C_D_right_1,2,0.0003313*alpha**2,0.14731774279782717,14.731774279782716
C_D_right_1,0,0.000858700000000000,0.00821544926869755,0.821544926869755
C_D_right_1,1,1.662e-5*del_r,0.0009623107691719701,0.09623107691719701
C_D_right_1,3,7.499e-5*alpha,0.0005096352586061448,0.05096352586061448
C_L0_1,1,0.05482*alpha,0.999805217619205,99.9805217619205
C_L0_1,0,0.00687100000000000,0.0019309581729646252,0.19309581729646252
C_L0_1,4,-0.0001486*alpha**2,0.0001088013740530025,0.01088013740530025
C_L0_1,3,-3.223e-5*beta**2,5.020385924647819e-06,0.0005020385924647819
C_L0_1,2,-2.979e-18*beta,0.0,0.0
C_L0_1,5,-9.3e-20*alpha*beta,0.0,0.0
C_L_right_1,2,0.0515*alpha,0.562545928777377,56.2545928777377
C_L_right_1,1,0.007507*del_r,0.4594908920865505,45.949089208655046
C_L_right_1,0,0.00653800000000000,0.0011146255485242618,0.11146255485242618
C_L_right_1,3,-1.557e-6*del_r**2,1.1007850109323591e-05,0.0011007850109323591
C_L_right_1,5,-8.98e-7*alpha*del_r,5.2995183130732926e-08,5.2995183130732926e-06
C_L_right_1,4,-1.637e-6*alpha**2,8.417833097240646e-09,8.417833097240646e-07
C_Y0_1,3,-0.005552*beta,1.000068243291108,100.00682432911081
C_Y0_1,4,-1.846e-6*alpha*beta,9.01128641372928e-07,9.01128641372928e-05
C_Y0_1,0,-5.92500000000000e-19,0.0,0.0
C_Y0_1,1,4.448e-20*alpha,0.0,0.0
C_Y0_1,2,1.827e-20*alpha**2,0.0,0.0
C_Y_right_1,3,-8.718e-6*del_r**2,1.5342223446511478,153.42223446511477
C_Y_right_1,5,-3.124e-5*alpha*del_r,0.2851248475192145,28.512484751921452
C_Y_right_1,0,-0.000103400000000000,0.0012393944027347947,0.12393944027347947
C_Y_right_1,4,-5.312e-6*del_r,0.001022797129278663,0.1022797129278663
C_Y_right_1,1,3.102e-6*alpha**2,0.00013437418145845204,0.013437418145845204
C_Y_right_1,2,3.091e-6*alpha,9.0088805817512e-06,0.00090088805817512
C_l0_1,2,4.688e-5*beta,0.5122507791307077,51.22507791307077
C_l0_1,4,-1.59e-5*alpha*beta,0.48027983036904476,48.02798303690447
C_l0_1,0,-8.19400000000000e-20,0.0,0.0
C_l0_1,1,7.088e-21*alpha**2,0.0,0.0
C_l0_1,3,9.856e-20*alpha,0.0,0.0
C_l_right_1,5,-0.001936*del_r,1.059738052075307,105.9738052075307
C_l_right_1,1,0.0005772*alpha,0.0024504165671564992,0.24504165671564992
