Полином,Исходных_членов,Осталось_членов,Удалено_членов,R²_полный,R²_упрощенный,Потеря_R²_%
C_L0_1,6,1,5,1.0,0.9987923656180542,0.12076343819458213
C_D0_1,6,2,4,1.0,0.9696390677281015,3.036093227189851
C_Y0_1,5,1,4,1.0,0.9999990709673516,9.290326483668565e-05
C_L_right_1,6,2,4,1.0,0.9990578391557188,0.09421608442812257
C_D_right_1,6,3,3,1.0,0.9890589509443685,1.0941049055631535
C_Y_right_1,6,2,4,1.0,0.9980144293042127,0.19855706957873087
C_l0_1,5,2,3,1.0,1.0,0.0
C_m0_1,6,2,4,1.0,0.9980462774182247,0.19537225817752857
C_n0_1,7,1,6,1.0,0.998911446540576,0.10885534594240465
C_l_right_1,9,1,8,1.0,0.9920793662410098,0.7920633758990214
C_m_right_1,9,2,7,1.0,0.9865623261121284,1.3437673887871648
C_n_right_1,6,1,5,1.0,0.9740201104700583,2.597988952994168
